"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","age","gender","tries","responses","phase","number","result","points","place","sequence","times","avg","response","during"
"3247","/tickets/utils/consent.html","html","0","3357","0.0-0.0","","","","","","","","","","","","","",""
"","","age","1","6358","0.0-1.0","44","m","","","","","","","","","","","",""
"","","instructions_check","2","10360","0.0-2.0","","","1","","","","","","","","","","",""
"811","/tickets/utils/start.html","html","3","12345","0.0-3.0","","","","","","","","","","","","","",""
"","","bar-choose","4","19982","0.0-4.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","0","","","","","","","",""
"1050","/tickets//utils/testing.html","html","5","22181","0.0-5.0","","","","","","","","","","","","","",""
"","","ticket-choose","6","28996","0.0-6.0","","","","","0","","218","0","8","-1","943,266,239,222,235,279,233,222","","",""
"1061","/tickets/utils/testing_after.html","html","7","31237","0.0-7.0","","","","","","","","","","","","","",""
"","","ticket-choose","8","41930","0.0-8.0","","","","","0","","152","1","2","0","5149,320,403,224,545,313","","",""
"","","ticket-choose","9","49352","0.0-9.0","","","","","0","","187","0","7","1","877,545,553,313,228","","",""
"","","ticket-choose","10","55956","0.0-10.0","","","","","0","","195","0","7","2","1061,250,208,575,567,208,215","","",""
"","","bar-choose","11","63072","0.0-11.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","1","","","","","","","",""
"845","/tickets/utils/start2.html","html","12","65095","0.0-12.0","","","","","","","","","","","","","",""
"","","number-animation","13","72524","0.0-13.0","","","","","","","","","","","","","",""
"","","training_avg","14","75751","0.0-14.0","","","","","1","","","","","0","","184","170",""
"","","number-animation","15","83900","0.0-15.0","","","","","","","","","","","","","",""
"","","training_avg","16","87878","0.0-16.0","","","","","1","","","","","1","","199","171",""
"","","number-animation","17","95270","0.0-17.0","","","","","","","","","","","","","",""
"","","training_avg","18","98054","0.0-18.0","","","","","1","","","","","2","","199","170",""
"","","number-animation","19","105245","0.0-19.0","","","","","","","","","","","","","",""
"","","training_avg","20","107678","0.0-20.0","","","","","1","","","","","3","","210","170",""
"","","number-animation","21","114045","0.0-21.0","","","","","","","","","","","","","",""
"","","training_avg","22","116358","0.0-22.0","","","","","1","","","","","4","","202","170",""
"","","bar-choose","23","121474","0.0-23.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","0","","","","","","","",""
"801","/tickets/utils/testing2.html","html","24","123431","0.0-24.0","","","","","","","","","","","","","",""
"","","ticket-choose","25","127601","0.0-25.0","","","","","1","","235","0","7","0","","","",""
"","","ticket-choose","26","130701","0.0-26.0","","","","","1","","145","3","0","1","","","",""
"","","ticket-choose","27","132565","0.0-27.0","","","","","1","","179","1","4","2","","","",""
"","","ticket-choose","28","134213","0.0-28.0","","","","","1","","236","0","8","3","","","",""
"","","ticket-choose","29","135845","0.0-29.0","","","","","1","","158","3","0","4","","","",""
"","","ticket-choose","30","137477","0.0-30.0","","","","","1","","206","0","6","5","","","",""
"","","ticket-choose","31","139285","0.0-31.0","","","","","1","","181","1","4","6","","","",""
"","","ticket-choose","32","140981","0.0-32.0","","","","","1","","198","1","4","7","","","",""
"","","ticket-choose","33","142717","0.0-33.0","","","","","1","","203","1","4","8","","","",""
"","","ticket-choose","34","144496","0.0-34.0","","","","","1","","213","1","4","9","","","",""
"","","ticket-choose","35","146237","0.0-35.0","","","","","1","","284","0","9","10","","","",""
"","","ticket-choose","36","147933","0.0-36.0","","","","","1","","217","1","4","11","","","",""
"","","ticket-choose","37","149629","0.0-37.0","","","","","1","","201","0","6","12","","","",""
