"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","age","gender","tries","responses","phase","number","result","points","place","sequence","times","during"
"5779","/tickets/utils/consent.html","html","0","6950","0.0-0.0","","","","","","","","","","","",""
"","","age","1","13322","0.0-1.0","23","m","","","","","","","","","",""
"","","instructions_check","2","16743","0.0-2.0","","","1","","","","","","","","",""
"723","/tickets/utils/start.html","html","3","19564","0.0-3.0","","","","","","","","","","","",""
"","","bar-choose","4","22838","0.0-4.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","0","","","","","",""
"1286","/tickets//utils/testing.html","html","5","28550","0.0-5.0","","","","","","","","","","","",""
"","","ticket-choose","6","31395","0.0-6.0","","","","","0","","184","1","4","-1","991",""
"115","/tickets/utils/testing_after.html","html","7","33134","0.0-7.0","","","","","","","","","","","",""
"","","ticket-choose","8","35859","0.0-8.0","","","","","0","","179","1","4","0","1010",""
"","","ticket-choose","9","37811","0.0-9.0","","","","","0","","206","0","6","1","112",""
"","","ticket-choose","10","39524","0.0-10.0","","","","","0","","179","1","4","2","288",""
"","","bar-choose","11","44206","0.0-11.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","1","","","","","",""
"802","/tickets/utils/start2.html","html","12","46200","0.0-12.0","","","","","","","","","","","",""
"","","bar-choose","13","49399","0.0-13.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","0","","","","","",""
"987","/tickets/utils/testing2.html","html","14","51558","0.0-14.0","","","","","","","","","","","",""
"","","ticket-choose","15","53740","0.0-15.0","","","","","1","","178","1","4","0","798",""
"","","ticket-choose","16","55429","0.0-16.0","","","","","1","","179","1","4","1","78",""
"","","ticket-choose","17","57393","0.0-17.0","","","","","1","","201","0","7","2","368",""
"","","bar-choose","18","60444","0.0-18.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","1","","","","","",""
"","","final","19","101056","0.0-19.0","","","","","","","","","","","","Eating"
