"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","age","gender","tries","responses","phase","number","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","data_tag","data","result","points","place","sequence","times","during"
"1461","/tickets/utils/consent.html","html","0","1727","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","age","1","5094","0.0-1.0","89","m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","instructions_check","2","8600","0.0-2.0","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"773","/tickets/utils/start.html","html","3","10450","0.0-3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","bar-choose","4","13697","0.0-4.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"776","/tickets//utils/testing.html","html","5","15757","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","store_data","6","16771","0.0-6.0","","","","","","","16","17","8","48","5","22","30","13","10","34","7","47","24","9","25","39","42","3","46","2","12","27","36","31","0","1","4","26","49","23","15","19","11","44","21","37","6","20","33","32","18","45","40","14","38","41","43","35","29","28","p1_testing_order","16,17,8,48,5,22,30,13,10,34,7,47,24,9,25,39,42,3,46,2,12,27,36,31,0,1,4,26,49,23,15,19,11,44,21,37,6,20,33,32,18,45,40,14,38,41,43,35,29,28","","","","","",""
"","","ticket-choose","7","19324","0.0-7.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184","1","4","-1","590",""
"63","/tickets/utils/testing_after.html","html","8","20553","0.0-8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","ticket-choose","9","23565","0.0-9.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197","1","4","0","992",""
"","","ticket-choose","10","25826","0.0-10.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","218","0","5","1","266",""
"","","ticket-choose","11","28336","0.0-11.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","196","1","4","2","711",""
"","","bar-choose","12","31406","0.0-12.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"468","/tickets/utils/start2.html","html","13","33408","0.0-13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","bar-choose","14","36440","0.0-14.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"603","/tickets/utils/testing2.html","html","15","38794","0.0-15.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","store_data","16","39799","0.0-16.0","","","","","","","8","40","15","2","39","3","47","7","35","29","14","28","22","48","19","41","30","18","46","44","37","6","12","0","34","43","26","17","24","32","31","38","4","5","36","1","16","23","33","27","42","11","45","49","20","21","9","13","25","10","p2_testing_order","8,40,15,2,39,3,47,7,35,29,14,28,22,48,19,41,30,18,46,44,37,6,12,0,34,43,26,17,24,32,31,38,4,5,36,1,16,23,33,27,42,11,45,49,20,21,9,13,25,10","","","","","",""
"","","ticket-choose","17","43843","0.0-17.0","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169","1","4","0","1802",""
"","","ticket-choose","18","46435","0.0-18.0","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169","1","4","1","164",""
"","","ticket-choose","19","48430","0.0-19.0","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","178","1","4","2","205",""
"","","bar-choose","20","51273","0.0-20.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","final","21","65301","0.0-21.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Eating"
