"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","age","gender","tries","responses","phase","number","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","data_tag","data","result","points","place","sequence","times","during"
"3116","/tickets/utils/consent.html","html","0","3123","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","age","1","6091","0.0-1.0","33","m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","instructions_check","2","9304","0.0-2.0","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"700","/tickets/utils/start.html","html","3","11008","0.0-3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","bar-choose","4","17213","0.0-4.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"845","/tickets//utils/testing.html","html","5","19061","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","store_data","6","20062","0.0-6.0","","","","","","","23","17","36","7","26","37","2","24","14","5","3","33","45","46","32","9","21","30","13","0","16","43","8","42","29","1","4","49","41","44","31","25","27","39","11","35","10","28","22","38","34","47","12","6","18","48","40","19","15","20","p1_testing_order","23,17,36,7,26,37,2,24,14,5,3,33,45,46,32,9,21,30,13,0,16,43,8,42,29,1,4,49,41,44,31,25,27,39,11,35,10,28,22,38,34,47,12,6,18,48,40,19,15,20","","","","","",""
"","","ticket-choose","7","24092","0.0-7.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224","0","9","-1","1142,287,512",""
"1098","/tickets/utils/testing_after.html","html","8","26193","0.0-8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","ticket-choose","9","35736","0.0-9.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186","1","4","0","579,387,483,485,462,508,551,1089,727,508",""
"","","ticket-choose","10","41655","0.0-10.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171","0","5","1","731,451,491,928,791",""
"","","ticket-choose","11","49107","0.0-11.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","154","3","0","2","894,515,319,452,515,602,506,483",""
"","","bar-choose","12","53604","0.0-12.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"655","/tickets/utils/start2.html","html","13","55265","0.0-13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","bar-choose","14","60174","0.0-14.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"838","/tickets/utils/testing2.html","html","15","62015","0.0-15.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","store_data","16","63017","0.0-16.0","","","","","","","38","14","36","31","6","22","12","15","4","33","28","47","26","29","3","18","34","17","43","8","10","27","16","19","46","49","40","25","1","2","45","48","39","37","35","32","0","20","30","11","44","42","41","7","21","9","5","13","24","23","p2_testing_order","38,14,36,31,6,22,12,15,4,33,28,47,26,29,3,18,34,17,43,8,10,27,16,19,46,49,40,25,1,2,45,48,39,37,35,32,0,20,30,11,44,42,41,7,21,9,5,13,24,23","","","","","",""
"","","ticket-choose","17","70900","0.0-17.0","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","223","1","4","0","1130,403,412,437,389,405,401,434,427",""
"","","ticket-choose","18","77535","0.0-18.0","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182","2","1","1","505,296,382,616,507,497,813",""
"","","ticket-choose","19","82228","0.0-19.0","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184","1","2","2","559,387,367,1005",""
"","","bar-choose","20","86145","0.0-20.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","final","21","97937","0.0-21.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nothing"
