"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","age","gender","tries","phase","sequence","avg","response","responses","number","result","points","place","during"
"5510","/tickets/utils/consent.html","html","0","5726","0.0-0.0","","","","","","","","","","","","",""
"","","age","1","9208","0.0-1.0","44","m","","","","","","","","","","",""
"","","instructions_check","2","15931","0.0-2.0","","","1","","","","","","","","","",""
"1117","/tickets/utils/start.html","html","3","18236","0.0-3.0","","","","","","","","","","","","",""
"","","number-animation","4","25343","0.0-4.0","","","","","","","","","","","","",""
"","","training_avg","5","28907","0.0-5.0","","","","0","0","181","160","","","","","",""
"","","number-animation","6","7186053","0.0-6.0","","","","","","","","","","","","",""
"","","training_avg","7","7194255","0.0-7.0","","","","0","1","188","164","","","","","",""
"","","number-animation","8","7201183","0.0-8.0","","","","","","","","","","","","",""
"","","training_avg","9","7206284","0.0-9.0","","","","0","2","188","171","","","","","",""
"","","number-animation","10","7213150","0.0-10.0","","","","","","","","","","","","",""
"","","training_avg","11","7215894","0.0-11.0","","","","0","3","177","160","","","","","",""
"","","number-animation","12","7223030","0.0-12.0","","","","","","","","","","","","",""
"","","training_avg","13","7225652","0.0-13.0","","","","0","4","182","160","","","","","",""
"","","bar-choose","14","7235413","0.0-14.0","","","","0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","","","",""
"1305","/tickets//utils/testing.html","html","15","7237883","0.0-15.0","","","","","","","","","","","","",""
"","","ticket-choose","16","7247549","0.0-16.0","","","","0","-1","","","","","126","3","0",""
"6743","/tickets/utils/testing_after.html","html","17","7256479","0.0-17.0","","","","","","","","","","","","",""
"","","ticket-choose","18","7267622","0.0-18.0","","","","0","0","","","","","155","1","2",""
"","","ticket-choose","19","7273212","0.0-19.0","","","","0","1","","","","","156","1","3",""
"","","ticket-choose","20","7281854","0.0-20.0","","","","0","2","","","","","149","3","0",""
"","","ticket-choose","21","7293580","0.0-21.0","","","","0","3","","","","","188","1","4",""
"","","ticket-choose","22","7303633","0.0-22.0","","","","0","4","","","","","164","2","1",""
"","","ticket-choose","23","7313443","0.0-23.0","","","","0","5","","","","","169","1","2",""
"","","ticket-choose","24","7318287","0.0-24.0","","","","0","6","","","","","163","1","3",""
"","","ticket-choose","25","7330657","0.0-25.0","","","","0","7","","","","","135","3","0",""
"","","ticket-choose","26","7333523","0.0-26.0","","","","0","8","","","","","137","3","0",""
"","","ticket-choose","27","7338353","0.0-27.0","","","","0","9","","","","","159","1","3",""
"","","ticket-choose","28","7352432","0.0-28.0","","","","0","10","","","","","138","2","1",""
"","","ticket-choose","29","7360622","0.0-29.0","","","","0","11","","","","","163","1","2",""
"","","ticket-choose","30","7363594","0.0-30.0","","","","0","12","","","","","157","3","0",""
"","","ticket-choose","31","7368328","0.0-31.0","","","","0","13","","","","","155","2","1",""
